time: 5.9059 , HR: 145.31 
time: 5.9393 , HR: 145.31 
time: 5.9726 , HR: 145.31 
time: 6.0060 , HR: 145.31 
time: 6.0394 , HR: 145.31 
time: 6.0727 , HR: 145.31 
time: 6.1061 , HR: 145.31 
time: 6.1395 , HR: 145.31 
time: 6.1728 , HR: 145.31 
time: 6.2062 , HR: 145.31 
time: 6.2396 , HR: 145.31 
time: 6.2729 , HR: 145.31 
time: 6.3063 , HR: 145.31 
time: 6.3397 , HR: 145.31 
time: 6.3730 , HR: 145.31 
time: 6.4064 , HR: 145.31 
time: 6.4398 , HR: 145.31 
time: 6.4731 , HR: 145.31 
time: 6.5065 , HR: 145.31 
time: 6.5399 , HR: 145.31 
time: 6.5732 , HR: 145.31 
time: 6.6066 , HR: 145.31 
time: 6.6400 , HR: 145.31 
time: 6.6733 , HR: 145.31 
time: 6.7067 , HR: 145.31 
time: 6.7401 , HR: 145.31 
time: 6.7734 , HR: 108.98 
time: 6.8068 , HR: 145.31 
time: 6.8402 , HR: 145.31 
time: 6.8735 , HR: 145.31 
time: 6.9069 , HR: 145.31 
time: 6.9403 , HR: 145.31 
time: 6.9736 , HR: 145.31 
time: 7.0070 , HR: 145.31 
time: 7.0404 , HR: 145.31 
time: 7.0737 , HR: 145.31 
time: 7.1071 , HR: 145.31 
time: 7.1405 , HR: 145.31 
time: 7.1738 , HR: 145.31 
time: 7.2072 , HR: 145.31 
time: 7.2406 , HR: 145.31 
time: 7.2739 , HR: 145.31 
time: 7.3073 , HR: 145.31 
time: 7.3407 , HR: 145.31 
time: 7.3740 , HR: 145.31 
time: 7.4074 , HR: 145.31 
time: 7.4408 , HR: 145.31 
time: 7.4741 , HR: 145.31 
time: 7.5075 , HR: 145.31 
time: 7.5409 , HR: 145.31 
time: 7.5742 , HR: 145.31 
time: 7.6076 , HR: 54.49 
time: 7.6410 , HR: 54.49 
time: 7.6743 , HR: 54.49 
time: 7.7077 , HR: 54.49 
time: 7.7411 , HR: 54.49 
time: 7.7744 , HR: 54.49 
time: 7.8078 , HR: 54.49 
time: 7.8412 , HR: 54.49 
time: 7.8745 , HR: 54.49 
time: 7.9079 , HR: 54.49 
time: 7.9413 , HR: 54.49 
time: 7.9746 , HR: 54.49 
time: 8.0080 , HR: 54.49 
time: 8.0414 , HR: 54.49 
time: 8.0747 , HR: 54.49 
time: 8.1081 , HR: 54.49 
time: 8.1415 , HR: 54.49 
time: 8.1748 , HR: 54.49 
time: 8.2082 , HR: 54.49 
time: 8.2416 , HR: 54.49 
time: 8.2749 , HR: 54.49 
time: 8.3083 , HR: 54.49 
time: 8.3417 , HR: 54.49 
time: 8.3750 , HR: 54.49 
time: 8.4084 , HR: 54.49 
time: 8.4418 , HR: 54.49 
time: 8.4751 , HR: 54.49 
time: 8.5085 , HR: 54.49 
time: 8.5419 , HR: 54.49 
time: 8.5752 , HR: 54.49 
time: 8.6086 , HR: 54.49 
time: 8.6420 , HR: 54.49 
time: 8.6753 , HR: 54.49 
time: 8.7087 , HR: 54.49 
time: 8.7421 , HR: 54.49 
time: 8.7754 , HR: 54.49 
time: 8.8088 , HR: 54.49 
time: 8.8422 , HR: 54.49 
time: 8.8755 , HR: 54.49 
time: 8.9089 , HR: 54.49 
time: 8.9423 , HR: 54.49 
time: 8.9756 , HR: 54.49 
time: 9.0090 , HR: 54.49 
time: 9.0424 , HR: 54.49 
time: 9.0757 , HR: 54.49 
time: 9.1091 , HR: 54.49 
time: 9.1425 , HR: 54.49 
time: 9.1758 , HR: 54.49 
time: 9.2092 , HR: 54.49 
time: 9.2426 , HR: 54.49 
time: 9.2759 , HR: 54.49 
time: 9.3093 , HR: 54.49 
time: 9.3427 , HR: 54.49 
time: 9.3760 , HR: 54.49 
time: 9.4094 , HR: 54.49 
time: 9.4428 , HR: 54.49 
time: 9.4761 , HR: 54.49 
time: 9.5095 , HR: 54.49 
time: 9.5429 , HR: 54.49 
time: 9.5762 , HR: 54.49 
time: 9.6096 , HR: 54.49 
time: 9.6430 , HR: 54.49 
time: 9.6763 , HR: 54.49 
time: 9.7097 , HR: 54.49 
time: 9.7431 , HR: 54.49 
time: 9.7764 , HR: 54.49 
time: 9.8098 , HR: 54.49 
time: 9.8432 , HR: 54.49 
time: 9.8765 , HR: 54.49 
time: 9.9099 , HR: 54.49 
time: 9.9433 , HR: 54.49 
time: 9.9766 , HR: 54.49 
time: 10.0100 , HR: 54.49 
time: 10.0434 , HR: 54.49 
time: 10.0767 , HR: 54.49 
time: 10.1101 , HR: 54.49 
time: 10.1435 , HR: 54.49 
time: 10.1768 , HR: 54.49 
time: 10.2102 , HR: 54.49 
time: 10.2436 , HR: 54.49 
time: 10.2769 , HR: 54.49 
time: 10.3103 , HR: 127.15 
time: 10.3437 , HR: 127.15 
time: 10.3770 , HR: 127.15 
time: 10.4104 , HR: 127.15 
time: 10.4438 , HR: 127.15 
time: 10.4771 , HR: 127.15 
time: 10.5105 , HR: 127.15 
time: 10.5439 , HR: 127.15 
time: 10.5772 , HR: 127.15 
time: 10.6106 , HR: 127.15 
time: 10.6440 , HR: 127.15 
time: 10.6773 , HR: 127.15 
time: 10.7107 , HR: 127.15 
time: 10.7441 , HR: 127.15 
time: 10.7774 , HR: 127.15 
time: 10.8108 , HR: 127.15 
time: 10.8442 , HR: 127.15 
time: 10.8775 , HR: 127.15 
time: 10.9109 , HR: 127.15 
time: 10.9443 , HR: 127.15 
time: 10.9776 , HR: 127.15 
time: 11.0110 , HR: 127.15 
time: 11.0444 , HR: 127.15 
time: 11.0777 , HR: 127.15 
time: 11.1111 , HR: 127.15 
time: 11.1445 , HR: 127.15 
time: 11.1778 , HR: 127.15 
time: 11.2112 , HR: 127.15 
time: 11.2446 , HR: 127.15 
time: 11.2779 , HR: 127.15 
time: 11.3113 , HR: 127.15 
time: 11.3447 , HR: 127.15 
time: 11.3780 , HR: 127.15 
time: 11.4114 , HR: 127.15 
time: 11.4448 , HR: 127.15 
time: 11.4781 , HR: 127.15 
time: 11.5115 , HR: 127.15 
time: 11.5449 , HR: 127.15 
time: 11.5782 , HR: 127.15 
time: 11.6116 , HR: 127.15 
time: 11.6450 , HR: 127.15 
time: 11.6783 , HR: 127.15 
time: 11.7117 , HR: 127.15 
time: 11.7451 , HR: 127.15 
time: 11.7784 , HR: 145.31 
time: 11.8118 , HR: 145.31 
time: 11.8452 , HR: 145.31 
time: 11.8785 , HR: 145.31 
time: 11.9119 , HR: 145.31 
time: 11.9453 , HR: 145.31 
time: 11.9786 , HR: 145.31 
time: 12.0120 , HR: 145.31 
time: 12.0454 , HR: 145.31 
time: 12.0787 , HR: 145.31 
time: 12.1121 , HR: 145.31 
time: 12.1455 , HR: 145.31 
time: 12.1788 , HR: 145.31 
time: 12.2122 , HR: 145.31 
time: 12.2456 , HR: 145.31 
time: 12.2789 , HR: 145.31 
time: 12.3123 , HR: 145.31 
time: 12.3457 , HR: 145.31 
time: 12.3790 , HR: 145.31 
time: 12.4124 , HR: 145.31 
time: 12.4458 , HR: 145.31 
time: 12.4791 , HR: 145.31 
time: 12.5125 , HR: 145.31 
time: 12.5459 , HR: 145.31 
time: 12.5792 , HR: 145.31 
time: 12.6126 , HR: 145.31 
time: 12.6460 , HR: 145.31 
time: 12.6793 , HR: 145.31 
time: 12.7127 , HR: 145.31 
time: 12.7461 , HR: 145.31 
time: 12.7794 , HR: 145.31 
time: 12.8128 , HR: 145.31 
time: 12.8462 , HR: 145.31 
time: 12.8795 , HR: 145.31 
time: 12.9129 , HR: 145.31 
time: 12.9463 , HR: 145.31 
time: 12.9796 , HR: 145.31 
time: 13.0130 , HR: 145.31 
time: 13.0464 , HR: 145.31 
time: 13.0797 , HR: 145.31 
time: 13.1131 , HR: 145.31 
time: 13.1465 , HR: 145.31 
time: 13.1798 , HR: 145.31 
time: 13.2132 , HR: 145.31 
time: 13.2466 , HR: 145.31 
time: 13.2799 , HR: 145.31 
time: 13.3133 , HR: 145.31 
time: 13.3467 , HR: 145.31 
time: 13.3800 , HR: 145.31 
time: 13.4134 , HR: 145.31 
time: 13.4468 , HR: 145.31 
time: 13.4801 , HR: 145.31 
time: 13.5135 , HR: 54.49 
time: 13.5469 , HR: 54.49 
time: 13.5802 , HR: 54.49 
time: 13.6136 , HR: 54.49 
time: 13.6470 , HR: 54.49 
time: 13.6803 , HR: 54.49 
time: 13.7137 , HR: 54.49 
time: 13.7471 , HR: 54.49 
time: 13.7804 , HR: 54.49 
time: 13.8138 , HR: 54.49 
time: 13.8472 , HR: 54.49 
time: 13.8805 , HR: 54.49 
time: 13.9139 , HR: 54.49 
time: 13.9473 , HR: 54.49 
time: 13.9806 , HR: 54.49 
time: 14.0140 , HR: 54.49 
time: 14.0474 , HR: 54.49 
time: 14.0807 , HR: 54.49 
time: 14.1141 , HR: 54.49 
time: 14.1475 , HR: 54.49 
time: 14.1808 , HR: 54.49 
time: 14.2142 , HR: 54.49 
time: 14.2476 , HR: 54.49 
time: 14.2809 , HR: 54.49 
time: 14.3143 , HR: 54.49 
time: 14.3477 , HR: 54.49 
time: 14.3810 , HR: 54.49 
time: 14.4144 , HR: 54.49 
time: 14.4478 , HR: 54.49 
time: 14.4811 , HR: 54.49 
time: 14.5145 , HR: 54.49 
time: 14.5479 , HR: 54.49 
time: 14.5812 , HR: 54.49 
time: 14.6146 , HR: 54.49 
time: 14.6480 , HR: 54.49 
time: 14.6813 , HR: 54.49 
time: 14.7147 , HR: 54.49 
time: 14.7481 , HR: 72.65 
time: 14.7814 , HR: 72.65 
time: 14.8148 , HR: 72.65 
time: 14.8482 , HR: 72.65 
time: 14.8815 , HR: 72.65 
time: 14.9149 , HR: 72.65 
time: 14.9483 , HR: 72.65 
time: 14.9816 , HR: 72.65 
time: 15.0150 , HR: 72.65 
time: 15.0484 , HR: 72.65 
time: 15.0817 , HR: 72.65 
time: 15.1151 , HR: 72.65 
time: 15.1485 , HR: 72.65 
time: 15.1818 , HR: 72.65 
time: 15.2152 , HR: 72.65 
time: 15.2486 , HR: 72.65 
time: 15.2819 , HR: 72.65 
time: 15.3153 , HR: 72.65 
time: 15.3487 , HR: 72.65 
time: 15.3820 , HR: 72.65 
time: 15.4154 , HR: 72.65 
time: 0.0000 , HR: 0.00 
time: 0.0334 , HR: 0.00 
time: 0.0667 , HR: 0.00 
time: 0.1001 , HR: 0.00 
time: 0.1335 , HR: 0.00 
time: 0.1668 , HR: 0.00 
time: 0.2002 , HR: 0.00 
time: 0.2336 , HR: 0.00 
time: 0.2669 , HR: 0.00 
time: 0.3003 , HR: 0.00 
time: 0.3337 , HR: 0.00 
time: 0.3670 , HR: 0.00 
time: 0.4004 , HR: 0.00 
time: 0.4338 , HR: 0.00 
time: 0.4671 , HR: 0.00 
time: 0.5005 , HR: 0.00 
time: 0.5339 , HR: 0.00 
time: 0.5672 , HR: 0.00 
time: 0.6006 , HR: 0.00 
time: 0.6340 , HR: 0.00 
time: 0.6673 , HR: 0.00 
time: 0.7007 , HR: 0.00 
time: 0.7341 , HR: 0.00 
time: 0.7674 , HR: 0.00 
time: 0.8008 , HR: 0.00 
time: 0.8342 , HR: 0.00 
time: 0.8675 , HR: 0.00 
time: 0.9009 , HR: 0.00 
time: 0.9343 , HR: 0.00 
time: 0.9676 , HR: 0.00 
time: 1.0010 , HR: 0.00 
time: 1.0344 , HR: 0.00 
time: 1.0677 , HR: 0.00 
time: 1.1011 , HR: 0.00 
time: 1.1345 , HR: 0.00 
time: 1.1678 , HR: 0.00 
time: 1.2012 , HR: 0.00 
time: 1.2346 , HR: 0.00 
time: 1.2679 , HR: 0.00 
time: 1.3013 , HR: 0.00 
time: 1.3347 , HR: 0.00 
time: 1.3680 , HR: 0.00 
time: 1.4014 , HR: 0.00 
time: 1.4348 , HR: 0.00 
time: 1.4681 , HR: 0.00 
time: 1.5015 , HR: 0.00 
time: 1.5349 , HR: 0.00 
time: 1.5682 , HR: 0.00 
time: 1.6016 , HR: 0.00 
time: 1.6350 , HR: 0.00 
time: 1.6683 , HR: 0.00 
time: 1.7017 , HR: 0.00 
time: 1.7351 , HR: 0.00 
time: 1.7684 , HR: 0.00 
time: 1.8018 , HR: 0.00 
time: 1.8352 , HR: 0.00 
time: 1.8685 , HR: 0.00 
time: 1.9019 , HR: 0.00 
time: 1.9353 , HR: 0.00 
time: 1.9686 , HR: 0.00 
time: 2.0020 , HR: 0.00 
time: 2.0354 , HR: 0.00 
time: 2.0687 , HR: 0.00 
time: 2.1021 , HR: 0.00 
time: 2.1355 , HR: 0.00 
time: 2.1688 , HR: 0.00 
time: 2.2022 , HR: 0.00 
time: 2.2356 , HR: 0.00 
time: 2.2689 , HR: 0.00 
time: 2.3023 , HR: 0.00 
time: 2.3357 , HR: 0.00 
time: 2.3690 , HR: 0.00 
time: 2.4024 , HR: 0.00 
time: 2.4358 , HR: 0.00 
time: 2.4691 , HR: 0.00 
time: 2.5025 , HR: 0.00 
time: 2.5359 , HR: 0.00 
time: 2.5692 , HR: 0.00 
time: 2.6026 , HR: 0.00 
time: 2.6360 , HR: 0.00 
time: 2.6693 , HR: 0.00 
time: 2.7027 , HR: 0.00 
time: 2.7361 , HR: 0.00 
time: 2.7694 , HR: 0.00 
time: 2.8028 , HR: 0.00 
time: 2.8362 , HR: 0.00 
time: 2.8695 , HR: 0.00 
time: 2.9029 , HR: 0.00 
time: 2.9363 , HR: 0.00 
time: 2.9696 , HR: 0.00 
time: 3.0030 , HR: 0.00 
time: 3.0364 , HR: 0.00 
time: 3.0697 , HR: 0.00 
time: 3.1031 , HR: 0.00 
time: 3.1365 , HR: 0.00 
time: 3.1698 , HR: 0.00 
time: 3.2032 , HR: 0.00 
time: 3.2366 , HR: 0.00 
time: 3.2699 , HR: 0.00 
time: 3.3033 , HR: 54.49 
time: 3.3367 , HR: 54.49 
time: 3.3700 , HR: 54.49 
time: 3.4034 , HR: 90.82 
time: 3.4368 , HR: 90.82 
time: 3.4701 , HR: 90.82 
time: 3.5035 , HR: 72.65 
time: 3.5369 , HR: 72.65 
time: 3.5702 , HR: 72.65 
time: 3.6036 , HR: 72.65 
time: 3.6370 , HR: 72.65 
time: 3.6703 , HR: 72.65 
time: 3.7037 , HR: 72.65 
time: 3.7371 , HR: 72.65 
time: 3.7704 , HR: 72.65 
time: 3.8038 , HR: 90.82 
time: 3.8372 , HR: 90.82 
time: 3.8705 , HR: 90.82 
time: 3.9039 , HR: 90.82 
time: 3.9373 , HR: 90.82 
time: 3.9706 , HR: 90.82 
time: 4.0040 , HR: 90.82 
time: 4.0374 , HR: 90.82 
time: 4.0707 , HR: 90.82 
time: 4.1041 , HR: 90.82 
time: 4.1375 , HR: 90.82 
time: 4.1708 , HR: 90.82 
time: 4.2042 , HR: 90.82 
time: 4.2376 , HR: 90.82 
time: 4.2709 , HR: 90.82 
time: 4.3043 , HR: 90.82 
time: 4.3377 , HR: 90.82 
time: 4.3710 , HR: 90.82 
time: 4.4044 , HR: 90.82 
time: 4.4378 , HR: 90.82 
time: 4.4711 , HR: 90.82 
time: 4.5045 , HR: 90.82 
time: 4.5379 , HR: 90.82 
time: 4.5712 , HR: 90.82 
time: 4.6046 , HR: 90.82 
time: 4.6380 , HR: 90.82 
time: 4.6713 , HR: 90.82 
time: 4.7047 , HR: 90.82 
time: 4.7381 , HR: 90.82 
time: 4.7714 , HR: 90.82 
time: 4.8048 , HR: 90.82 
time: 4.8382 , HR: 90.82 
time: 4.8715 , HR: 90.82 
time: 4.9049 , HR: 90.82 
time: 4.9383 , HR: 90.82 
time: 4.9716 , HR: 90.82 
time: 5.0050 , HR: 90.82 
time: 5.0384 , HR: 90.82 
time: 5.0717 , HR: 90.82 
time: 5.1051 , HR: 90.82 
time: 5.1385 , HR: 90.82 
time: 5.1718 , HR: 90.82 
time: 5.2052 , HR: 90.82 
time: 5.2386 , HR: 90.82 
time: 5.2719 , HR: 90.82 
time: 5.3053 , HR: 90.82 
time: 5.3387 , HR: 90.82 
time: 5.3720 , HR: 90.82 
time: 5.4054 , HR: 145.31 
time: 5.4388 , HR: 145.31 
time: 5.4721 , HR: 145.31 
time: 5.5055 , HR: 145.31 
time: 5.5389 , HR: 145.31 
time: 5.5722 , HR: 145.31 
time: 5.6056 , HR: 145.31 
time: 5.6390 , HR: 145.31 
time: 5.6723 , HR: 145.31 
time: 5.7057 , HR: 145.31 
time: 5.7391 , HR: 145.31 
time: 5.7724 , HR: 145.31 
time: 5.8058 , HR: 145.31 
time: 5.8392 , HR: 145.31 
time: 5.8725 , HR: 145.31 
time: 5.9059 , HR: 145.31 
time: 5.9393 , HR: 145.31 
time: 5.9726 , HR: 145.31 
time: 6.0060 , HR: 145.31 
time: 6.0394 , HR: 145.31 
time: 6.0727 , HR: 145.31 
time: 6.1061 , HR: 145.31 
time: 6.1395 , HR: 145.31 
time: 6.1728 , HR: 145.31 
time: 6.2062 , HR: 145.31 
time: 6.2396 , HR: 145.31 
time: 6.2729 , HR: 145.31 
time: 6.3063 , HR: 145.31 
time: 6.3397 , HR: 145.31 
time: 6.3730 , HR: 145.31 
time: 6.4064 , HR: 145.31 
time: 6.4398 , HR: 145.31 
time: 6.4731 , HR: 145.31 
time: 6.5065 , HR: 145.31 
time: 6.5399 , HR: 145.31 
time: 6.5732 , HR: 145.31 
time: 6.6066 , HR: 145.31 
time: 6.6400 , HR: 145.31 
time: 6.6733 , HR: 145.31 
time: 6.7067 , HR: 145.31 
time: 6.7401 , HR: 145.31 
time: 6.7734 , HR: 108.98 
time: 6.8068 , HR: 145.31 
time: 6.8402 , HR: 145.31 
time: 6.8735 , HR: 145.31 
time: 6.9069 , HR: 145.31 
time: 6.9403 , HR: 145.31 
time: 6.9736 , HR: 145.31 
time: 7.0070 , HR: 145.31 
time: 7.0404 , HR: 145.31 
time: 7.0737 , HR: 145.31 
time: 7.1071 , HR: 145.31 
time: 7.1405 , HR: 145.31 
time: 7.1738 , HR: 145.31 
time: 7.2072 , HR: 145.31 
time: 7.2406 , HR: 145.31 
time: 7.2739 , HR: 145.31 
time: 7.3073 , HR: 145.31 
time: 7.3407 , HR: 145.31 
time: 7.3740 , HR: 145.31 
time: 7.4074 , HR: 145.31 
time: 7.4408 , HR: 145.31 
time: 7.4741 , HR: 145.31 
time: 7.5075 , HR: 145.31 
time: 7.5409 , HR: 145.31 
time: 7.5742 , HR: 145.31 
time: 7.6076 , HR: 54.49 
time: 7.6410 , HR: 54.49 
time: 7.6743 , HR: 54.49 
time: 7.7077 , HR: 54.49 
time: 7.7411 , HR: 54.49 
time: 7.7744 , HR: 54.49 
time: 7.8078 , HR: 54.49 
time: 7.8412 , HR: 54.49 
time: 7.8745 , HR: 54.49 
time: 7.9079 , HR: 54.49 
time: 7.9413 , HR: 54.49 
time: 7.9746 , HR: 54.49 
time: 8.0080 , HR: 54.49 
time: 8.0414 , HR: 54.49 
time: 0.0000 , HR: 0.00 
time: 0.0334 , HR: 0.00 
time: 0.0667 , HR: 0.00 
time: 0.1001 , HR: 0.00 
time: 0.1335 , HR: 0.00 
time: 0.1668 , HR: 0.00 
time: 0.2002 , HR: 0.00 
time: 0.2336 , HR: 0.00 
time: 0.2669 , HR: 0.00 
time: 0.3003 , HR: 0.00 
time: 0.3337 , HR: 0.00 
time: 0.3670 , HR: 0.00 
time: 0.4004 , HR: 0.00 
time: 0.4338 , HR: 0.00 
time: 0.4671 , HR: 0.00 
time: 0.5005 , HR: 0.00 
time: 0.5339 , HR: 0.00 
time: 0.5672 , HR: 0.00 
time: 0.6006 , HR: 0.00 
time: 0.6340 , HR: 0.00 
time: 0.6673 , HR: 0.00 
time: 0.7007 , HR: 0.00 
time: 0.7341 , HR: 0.00 
time: 0.7674 , HR: 0.00 
time: 0.8008 , HR: 0.00 
time: 0.8342 , HR: 0.00 
time: 0.8675 , HR: 0.00 
time: 0.9009 , HR: 0.00 
time: 0.9343 , HR: 0.00 
time: 0.9676 , HR: 0.00 
time: 1.0010 , HR: 0.00 
time: 1.0344 , HR: 0.00 
time: 1.0677 , HR: 0.00 
time: 1.1011 , HR: 0.00 
time: 1.1345 , HR: 0.00 
time: 1.1678 , HR: 0.00 
time: 1.2012 , HR: 0.00 
time: 1.2346 , HR: 0.00 
time: 1.2679 , HR: 0.00 
time: 1.3013 , HR: 0.00 
time: 1.3347 , HR: 0.00 
time: 1.3680 , HR: 0.00 
time: 1.4014 , HR: 0.00 
time: 1.4348 , HR: 0.00 
time: 1.4681 , HR: 0.00 
time: 1.5015 , HR: 0.00 
time: 1.5349 , HR: 0.00 
time: 1.5682 , HR: 0.00 
time: 1.6016 , HR: 0.00 
time: 1.6350 , HR: 0.00 
time: 1.6683 , HR: 0.00 
time: 1.7017 , HR: 0.00 
time: 1.7351 , HR: 0.00 
time: 1.7684 , HR: 0.00 
time: 1.8018 , HR: 0.00 
time: 1.8352 , HR: 0.00 
time: 1.8685 , HR: 0.00 
time: 1.9019 , HR: 0.00 
time: 1.9353 , HR: 0.00 
time: 1.9686 , HR: 0.00 
time: 2.0020 , HR: 0.00 
time: 2.0354 , HR: 0.00 
time: 2.0687 , HR: 0.00 
time: 2.1021 , HR: 0.00 
time: 2.1355 , HR: 0.00 
time: 2.1688 , HR: 0.00 
time: 2.2022 , HR: 0.00 
time: 2.2356 , HR: 0.00 
time: 2.2689 , HR: 0.00 
time: 2.3023 , HR: 0.00 
time: 2.3357 , HR: 0.00 
time: 2.3690 , HR: 0.00 
time: 2.4024 , HR: 0.00 
time: 2.4358 , HR: 0.00 
time: 2.4691 , HR: 0.00 
time: 2.5025 , HR: 0.00 
time: 2.5359 , HR: 0.00 
time: 2.5692 , HR: 0.00 
time: 2.6026 , HR: 0.00 
time: 2.6360 , HR: 0.00 
time: 2.6693 , HR: 0.00 
time: 2.7027 , HR: 0.00 
time: 2.7361 , HR: 0.00 
time: 2.7694 , HR: 0.00 
time: 2.8028 , HR: 0.00 
time: 2.8362 , HR: 0.00 
time: 2.8695 , HR: 0.00 
time: 2.9029 , HR: 0.00 
time: 2.9363 , HR: 0.00 
time: 2.9696 , HR: 0.00 
time: 3.0030 , HR: 0.00 
time: 3.0364 , HR: 0.00 
time: 3.0697 , HR: 0.00 
time: 3.1031 , HR: 0.00 
time: 3.1365 , HR: 0.00 
time: 3.1698 , HR: 0.00 
time: 3.2032 , HR: 0.00 
time: 3.2366 , HR: 0.00 
time: 3.2699 , HR: 0.00 
time: 3.3033 , HR: 54.49 
time: 3.3367 , HR: 54.49 
time: 3.3700 , HR: 54.49 
time: 3.4034 , HR: 90.82 
time: 3.4368 , HR: 90.82 
time: 3.4701 , HR: 90.82 
time: 3.5035 , HR: 72.65 
time: 3.5369 , HR: 72.65 
time: 3.5702 , HR: 72.65 
time: 3.6036 , HR: 72.65 
time: 3.6370 , HR: 72.65 
time: 3.6703 , HR: 72.65 
time: 3.7037 , HR: 72.65 
time: 3.7371 , HR: 72.65 
time: 3.7704 , HR: 72.65 
time: 3.8038 , HR: 90.82 
time: 3.8372 , HR: 90.82 
time: 3.8705 , HR: 90.82 
time: 3.9039 , HR: 90.82 
time: 3.9373 , HR: 90.82 
time: 3.9706 , HR: 90.82 
time: 4.0040 , HR: 90.82 
time: 4.0374 , HR: 90.82 
time: 4.0707 , HR: 90.82 
time: 4.1041 , HR: 90.82 
time: 4.1375 , HR: 90.82 
time: 4.1708 , HR: 90.82 
time: 4.2042 , HR: 90.82 
time: 4.2376 , HR: 90.82 
time: 4.2709 , HR: 90.82 
time: 4.3043 , HR: 90.82 
time: 4.3377 , HR: 90.82 
time: 4.3710 , HR: 90.82 
time: 4.4044 , HR: 90.82 
time: 4.4378 , HR: 90.82 
time: 4.4711 , HR: 90.82 
time: 4.5045 , HR: 90.82 
time: 4.5379 , HR: 90.82 
time: 4.5712 , HR: 90.82 
time: 4.6046 , HR: 90.82 
time: 4.6380 , HR: 90.82 
time: 4.6713 , HR: 90.82 
time: 4.7047 , HR: 90.82 
time: 4.7381 , HR: 90.82 
time: 4.7714 , HR: 90.82 
time: 4.8048 , HR: 90.82 
time: 4.8382 , HR: 90.82 
time: 4.8715 , HR: 90.82 
time: 4.9049 , HR: 90.82 
time: 4.9383 , HR: 90.82 
time: 4.9716 , HR: 90.82 
time: 5.0050 , HR: 90.82 
time: 5.0384 , HR: 90.82 
time: 5.0717 , HR: 90.82 
time: 5.1051 , HR: 90.82 
time: 5.1385 , HR: 90.82 
time: 5.1718 , HR: 90.82 
time: 5.2052 , HR: 90.82 
time: 5.2386 , HR: 90.82 
time: 5.2719 , HR: 90.82 
time: 5.3053 , HR: 90.82 
time: 5.3387 , HR: 90.82 
time: 5.3720 , HR: 90.82 
time: 5.4054 , HR: 145.31 
time: 5.4388 , HR: 145.31 
time: 5.4721 , HR: 145.31 
time: 5.5055 , HR: 145.31 
time: 5.5389 , HR: 145.31 
time: 5.5722 , HR: 145.31 
time: 5.6056 , HR: 145.31 
time: 5.6390 , HR: 145.31 
time: 5.6723 , HR: 145.31 
time: 5.7057 , HR: 145.31 
time: 5.7391 , HR: 145.31 
time: 5.7724 , HR: 145.31 
time: 5.8058 , HR: 145.31 
time: 5.8392 , HR: 145.31 
time: 5.8725 , HR: 145.31 
time: 5.9059 , HR: 145.31 
time: 5.9393 , HR: 145.31 
time: 5.9726 , HR: 145.31 
time: 6.0060 , HR: 145.31 
time: 6.0394 , HR: 145.31 
time: 6.0727 , HR: 145.31 
time: 6.1061 , HR: 145.31 
time: 6.1395 , HR: 145.31 
time: 6.1728 , HR: 145.31 
time: 6.2062 , HR: 145.31 
time: 6.2396 , HR: 145.31 
time: 6.2729 , HR: 145.31 
time: 6.3063 , HR: 145.31 
time: 6.3397 , HR: 145.31 
time: 6.3730 , HR: 145.31 
time: 6.4064 , HR: 145.31 
time: 6.4398 , HR: 145.31 
time: 6.4731 , HR: 145.31 
time: 6.5065 , HR: 145.31 
time: 6.5399 , HR: 145.31 
time: 6.5732 , HR: 145.31 
time: 6.6066 , HR: 145.31 
time: 6.6400 , HR: 145.31 
time: 6.6733 , HR: 145.31 
time: 6.7067 , HR: 145.31 
time: 6.7401 , HR: 145.31 
time: 6.7734 , HR: 108.98 
time: 6.8068 , HR: 145.31 
time: 6.8402 , HR: 145.31 
time: 6.8735 , HR: 145.31 
time: 6.9069 , HR: 145.31 
time: 6.9403 , HR: 145.31 
time: 6.9736 , HR: 145.31 
time: 7.0070 , HR: 145.31 
time: 7.0404 , HR: 145.31 
time: 7.0737 , HR: 145.31 
time: 7.1071 , HR: 145.31 
time: 7.1405 , HR: 145.31 
time: 7.1738 , HR: 145.31 
time: 7.2072 , HR: 145.31 
time: 7.2406 , HR: 145.31 
time: 7.2739 , HR: 145.31 
time: 7.3073 , HR: 145.31 
time: 7.3407 , HR: 145.31 
time: 7.3740 , HR: 145.31 
time: 7.4074 , HR: 145.31 
time: 7.4408 , HR: 145.31 
time: 7.4741 , HR: 145.31 
time: 7.5075 , HR: 145.31 
time: 7.5409 , HR: 145.31 
time: 7.5742 , HR: 145.31 
time: 7.6076 , HR: 54.49 
time: 7.6410 , HR: 54.49 
time: 7.6743 , HR: 54.49 
time: 7.7077 , HR: 54.49 
time: 7.7411 , HR: 54.49 
time: 7.7744 , HR: 54.49 
time: 7.8078 , HR: 54.49 
time: 7.8412 , HR: 54.49 
time: 7.8745 , HR: 54.49 
time: 7.9079 , HR: 54.49 
time: 7.9413 , HR: 54.49 
time: 7.9746 , HR: 54.49 
time: 8.0080 , HR: 54.49 
time: 8.0414 , HR: 54.49 
time: 8.0747 , HR: 54.49 
time: 8.1081 , HR: 54.49 
time: 8.1415 , HR: 54.49 
time: 8.1748 , HR: 54.49 
time: 8.2082 , HR: 54.49 
time: 8.2416 , HR: 54.49 
time: 8.2749 , HR: 54.49 
